Codice;Barcode;Descrizione;Fornitore;Quantità;Unità di misura;Prezzo acquisto;Prezzo vendita;Peso lordo (KG);Volume (M3);Categoria;Sottocategoria;Ubicazione;Note
51021;;CIOTOLA DAMASCO GOLD VETRO;Brandani;2;;;15,5;;;Natale;;;
51022;;CENTROTAVOLA DAMASCO GOLD VETRO;Brandani;2;;;24,9;;;Natale;;;
51023;;PIATTO DAMASCO GOLD VETRO;Brandani;2;;;21,9;;;Natale;;;
