Codice;Barcode;Descrizione;Fornitore;Quantità;Unità di misura;Prezzo acquisto;Prezzo vendita;Peso lordo (KG);Volume (M3);Categoria;Sottocategoria;Ubicazione;Note
BR51020;BR51020;;Brandani;6;;;;;;Natale;;;
BR51021;BR51021;CIOTOLA DAMASCO GOLD VETRO;Brandani;2;;;15,5;;;Natale;oggettistica natalizia;;
BR51022;BR51022;CENTROTAVOLA DAMASCO GOLD VETRO;Brandani;2;;;24,9;;;Natale;oggettistica natalizia;;
